Year,No.,Round,Pick,Player,Name,Team,College
2023,1,1,8,8,Bijan Robinson,Falcons,Texas
2023,2,1,12,12,Jahmyr Gibbs,Lions,Alabama
2023,3,2,21,52,Zach Charbonnet,Seahawks,UCLA
2023,4,3,8,71,Kendre Miller,Saints,Texas Christian
2023,5,3,18,81,Tyjae Spears,Titans,Tulane
2023,6,3,21,84,De'Von Achane,Dolphins,Texas A&M
2023,7,3,25,88,Tank Bigsby,Jaguars,Auburn
2023,8,4,13,115,Roschon Johnson,Bears,Texas
2023,9,5,8,143,Israel Abanikanda,Jets,Pittsburgh
2023,10,5,28,163,Chase Brown,Bengals,Illinois
2023,11,5,37,172,Eric Gray,Giants,Oklahoma
2023,12,5,41,176,Evan Hull,Colts,Northwestern
2023,13,6,16,193,Chris Rodriguez,Commanders,Kentucky
2023,14,6,35,212,Deuce Vaughn,Cowboys,Kansas State
2023,15,6,38,215,Zach Evans,Rams,Mississippi
2023,16,7,5,222,DeWayne McBride,Vikings,Alabama-Birmingham
2023,17,7,18,235,Lew Nichols,Packers,Central Michigan
2023,18,7,20,237,Kenny McIntosh,Seahawks,Georgia
2022,1,2,4,36,Breece Hall,Jets,Iowa State
2022,2,2,9,41,Kenneth Walker,Seahawks,Michigan State
2022,3,2,31,63,James Cook,Bills,Georgia
2022,4,3,27,91,Rachaad White,Buccaneers,Arizona State
2022,5,3,29,93,Tyrion Davis-Price,49ers,Louisiana State
2022,6,3,34,98,Brian Robinson,Commanders,Alabama
2022,7,4,2,107,Dameon Pierce,Texans,Florida
2022,8,4,17,122,Zamir White,Raiders,Georgia
2022,9,4,18,123,Isaiah Spiller,Chargers,Texas A&M
2022,10,4,22,127,Pierre Strong,Patriots,South Dakota State
2022,11,4,26,131,Hassan Haskins,Titans,Michigan
2022,12,5,8,151,Tyler Allgeier,Falcons,Brigham Young
2022,13,5,11,154,Snoop Conner,Jaguars,Mississippi
2022,14,5,13,156,Jerome Ford,Browns,Cincinnati
2022,15,5,21,164,Kyren Williams,Rams,Notre Dame
2022,16,5,26,169,Ty Chandler,Vikings,North Carolina
2022,17,6,4,183,Kevin Harris,Patriots,South Carolina
2022,18,6,17,196,Tyler Badie,Ravens,Missouri
2022,19,6,22,201,Keaontay Ingram,Cardinals,USC
2022,20,6,24,203,Trestan Ebner,Bears,Baylor
2022,21,6,29,208,Connor Heyward,Steelers,Michigan State
2022,22,7,29,250,Brittain Brown,Raiders,UCLA
2022,23,7,30,251,Isaih Pacheco,Chiefs,Rutgers
2022,24,7,39,260,Zander Horvath,Chargers,Purdue
2021,1,1,24,24,Najee Harris,Steelers,Alabama
2021,2,1,25,25,Travis Etienne,Jaguars,Clemson
2021,3,2,3,35,Javonte Williams,Broncos,North Carolina
2021,4,3,24,88,Trey Sermon,49ers,Ohio State
2021,5,4,2,107,Michael Carter,Jets,North Carolina
2021,6,4,14,119,Kene Nwangwu,Vikings,Iowa State
2021,7,4,15,120,Rhamondre Stevenson,Patriots,Oklahoma
2021,8,4,21,126,Chuba Hubbard,Panthers,Oklahoma State
2021,9,5,6,150,Kenneth Gainwell,Eagles,Memphis
2021,10,5,40,184,Ben Mason,Ravens,Michigan
2021,11,6,10,194,Elijah Mitchell,49ers,Louisiana-Lafayette
2021,12,6,12,196,Gary Brightwell,Giants,Arizona
2021,13,6,14,198,Larry Rountree,Chargers,Missouri
2021,14,6,18,202,Chris Evans,Bengals,Michigan
2021,15,6,27,211,Demetric Felton,Browns,UCLA
2021,16,6,33,217,Khalil Herbert,Bears,Virginia Tech
2021,17,7,5,233,Jake Funk,Rams,Maryland
2021,18,7,17,244,Gerrid Doaks,Dolphins,Cincinnati
2021,19,7,29,256,Kylin Hill,Packers,Mississippi State
2021,20,7,30,257,Jermar Jefferson,Lions,Oregon State
2020,1,1,32,32,Clyde Edwards-Helaire,Chiefs,Louisiana State
2020,2,2,3,35,D'Andre Swift,Lions,Georgia
2020,3,2,9,41,Jonathan Taylor,Colts,Wisconsin
2020,4,2,20,52,Cam Akers,Rams,Florida State
2020,5,2,23,55,J.K. Dobbins,Ravens,Ohio State
2020,6,2,30,62,AJ Dillon,Packers,Boston College
2020,7,3,12,76,Ke'Shawn Vaughn,Buccaneers,Vanderbilt
2020,8,3,22,86,Zack Moss,Bills,Utah
2020,9,3,29,93,Darrynton Evans,Titans,Appalachian State
2020,10,4,6,112,Joshua Kelley,Chargers,UCLA
2020,11,4,14,120,Lamical Perine,Jets,Florida
2020,12,4,18,124,Anthony McFarland,Steelers,Maryland
2020,13,4,38,144,DeeJay Dallas,Seahawks,Miami (FL)
2020,14,5,26,172,Jason Huntley,Lions,New Mexico State
2020,15,7,8,222,Eno Benjamin,Cardinals,Arizona State
2020,16,7,31,245,Raymond Calais,Buccaneers,Louisiana-Lafayette
2019,1,1,24,24,Josh Jacobs,Raiders,Alabama
2019,2,2,21,53,Miles Sanders,Eagles,Penn State
2019,3,3,6,70,Darrell Henderson,Rams,Memphis
2019,4,3,9,73,David Montgomery,Bears,Iowa State
2019,5,3,10,74,Devin Singletary,Bills,Florida Atlantic
2019,6,3,23,87,Damien Harris,Patriots,Alabama
2019,7,3,38,102,Alexander Mattison,Vikings,Boise State
2019,8,4,10,112,Bryce Love,Redskins,Stanford
2019,9,4,11,113,Justice Hill,Ravens,Oklahoma State
2019,10,4,20,122,Benny Snell,Steelers,Kentucky
2019,11,4,26,128,Tony Pollard,Cowboys,Memphis
2019,12,5,2,140,Ryquell Armstead,Jaguars,Temple
2019,13,5,14,152,Qadree Ollison,Falcons,Pittsburgh
2019,14,5,16,154,Jordan Scarlett,Panthers,Florida
2019,15,6,9,182,Trayveon Williams,Bengals,Texas A&M
2019,16,6,13,186,Ty Johnson,Lions,Maryland
2019,17,6,21,194,Dexter Williams,Packers,Notre Dame
2019,18,6,31,204,Travis Homer,Seahawks,Miami (FL)
2019,19,6,38,211,Rodney Anderson,Bengals,Oklahoma
2019,20,6,41,214,Darwin Thompson,Chiefs,Utah State
2019,21,7,4,218,Mike Weber,Cowboys,Ohio State
2019,22,7,6,220,Cullen Gillaspia,Texans,Texas A&M
2019,23,7,8,222,Kerrith Whyte,Bears,Florida Atlantic
2019,24,7,19,233,Chandler Cox,Dolphins,Auburn
2019,25,7,20,234,Myles Gaskin,Dolphins,Washington
2018,1,1,2,2,Saquon Barkley,Giants,Penn State
2018,2,1,27,27,Rashaad Penny,Seahawks,San Diego State
2018,3,1,31,31,Sony Michel,Patriots,Georgia
2018,4,2,3,35,Nick Chubb,Browns,Georgia
2018,5,2,6,38,Ronald Jones,Buccaneers,USC
2018,6,2,11,43,Kerryon Johnson,Lions,Auburn
2018,7,2,27,59,Derrius Guice,Redskins,Louisiana State
2018,8,3,7,71,Royce Freeman,Broncos,Oregon
2018,9,4,4,104,Nyheim Hines,Colts,North Carolina State
2018,10,4,12,112,Mark Walton,Bengals,Miami (FL)
2018,11,4,26,126,Ito Smith,Falcons,Southern Mississippi
2018,12,4,31,131,Kalen Ballage,Dolphins,Arizona State
2018,13,4,34,134,Chase Edmonds,Cardinals,Fordham
2018,14,5,32,169,Jordan Wilkins,Colts,Mississippi
2018,15,6,2,176,John Kelly,Rams,Tennessee
